№,Секунда,Микросекунда
1,37,912184
2,37,922617
3,37,932883
4,37,942970
5,37,953132
6,37,963393
7,37,973892
8,37,983963
9,37,994385
10,38,4692
11,38,14885
12,38,25401
13,38,35458
14,38,45599
15,38,55895
16,38,65973
17,38,85160
18,38,95537
19,38,105869
20,38,116432
21,38,130550
22,38,144923
23,38,155393
24,38,165765
25,38,175925
26,38,185994
27,38,196165
28,38,209633
29,38,228396
30,38,245920
31,38,264985
32,38,275386
33,38,286109
34,38,300583
35,38,310701
36,38,320899
37,38,332871
38,38,344411
39,38,354889
40,38,365090
41,38,375381
42,38,385680
43,38,396047
44,38,406074
45,38,419419
46,38,429476
47,38,444405
48,38,454872
49,38,465077
50,38,475382
51,38,485890
52,38,496091
53,38,515131
54,38,525584
55,38,535897
56,38,554456
57,38,564881
58,38,575312
59,38,585377
60,38,595914
61,38,606201
62,38,616943
63,38,636419
64,38,652196
65,38,662858
66,38,673191
67,38,683444
68,38,694020
69,38,704165
70,38,714556
71,38,724862
72,38,735070
73,38,745450
74,38,755748
75,38,767040
76,38,777138
77,38,788388
78,38,798680
79,38,809013
80,38,819318
81,38,829459
82,38,839945
83,38,850430
84,38,860732
85,38,870951
86,38,881130
87,38,891444
88,38,901969
89,38,912163
90,38,922448
91,38,932995
92,38,943448
93,38,953506
94,38,963543
95,38,973982
96,38,984518
97,38,994582
98,39,4612
99,39,14960
100,39,25615
101,39,35650
102,39,45816
103,39,56071
104,39,66390
105,39,76561
106,39,86868
107,39,96895
108,39,107106
109,39,117150
110,39,127393
111,39,137718
112,39,148113
113,39,158745
114,39,168939
115,39,192433
116,39,202509
117,39,213458
118,39,223957
119,39,234054
120,39,244170
121,39,254226
122,39,264626
123,39,274686
124,39,284847
125,39,294970
126,39,305439
127,39,315792
128,39,326066
129,39,337949
130,39,348429
131,39,358935
132,39,369448
133,39,379567
134,39,390276
135,39,400841
136,39,410900
137,39,421190
138,39,431635
139,39,441681
140,39,451799
141,39,462446
142,39,472836
143,39,483089
144,39,493410
145,39,503835
146,39,514366
147,39,524643
148,39,535186
149,39,545637
150,39,555714
151,39,566416
152,39,577088
153,39,587982
154,39,598450
155,39,608670
156,39,618962
157,39,629452
158,39,639739
159,39,650256
160,39,660438
161,39,670926
162,39,681560
163,39,692228
164,39,702442
165,39,712792
166,39,723557
167,39,734174
168,39,744665
169,39,754785
170,39,765450
171,39,775542
172,39,786062
173,39,797431
174,39,807918
175,39,818273
176,39,830389
177,39,840522
178,39,850808
179,39,861513
180,39,872002
181,39,882047
182,39,892715
183,39,902918
184,39,913337
185,39,923985
186,39,934675
187,39,945105
188,39,955232
189,39,965910
190,39,976531
191,39,987994
192,39,998448
193,40,8829
194,40,19531
195,40,29659
196,40,39770
197,40,50066
198,40,60513
199,40,70548
200,40,80881
201,40,90950
202,40,101439
203,40,117641
204,40,133989
205,40,144053
206,40,154161
207,40,164206
208,40,174684
209,40,184947
210,40,195435
211,40,205733
212,40,215927
213,40,234464
214,40,244557
215,40,254803
216,40,264841
217,40,274960
218,40,285633
219,40,295674
220,40,305914
221,40,324504
222,40,334965
223,40,345500
224,40,355727
225,40,365900
226,40,376184
227,40,389218
228,40,407472
229,40,428424
230,40,446097
231,40,459754
232,40,476469
233,40,492456
234,40,502884
235,40,512923
236,40,523454
237,40,534023
238,40,544761
239,40,554816
240,40,565190
241,40,575222
242,40,585256
243,40,595790
244,40,606056
245,40,616512
246,40,626880
247,40,644970
248,40,655425
249,40,665887
250,40,675917
251,40,686021
252,40,696410
253,40,709915
254,40,720442
255,40,734948
256,40,745386
257,40,755525
258,40,765889
259,40,784460
260,40,795132
261,40,805439
262,40,815595
263,40,825908
264,40,838936
265,40,856937
266,40,878409
267,40,888854
268,40,904386
269,40,914880
270,40,925086
271,40,935147
272,40,945377
273,40,955887
274,40,971577
275,40,981944
276,40,992415
277,41,2894
278,41,13411
279,41,23899
280,41,34052
281,41,44267
282,41,54584
283,41,64987
284,41,75469
285,41,85745
286,41,96163
287,41,115311
288,41,125388
289,41,135621
290,41,145881
291,41,156051
292,41,168581
293,41,188660
294,41,208622
295,41,228595
296,41,244246
297,41,254599
298,41,264745
299,41,275180
300,41,285670
